CodMaps; CCAA; Provincia; Mat
1; Andalucía; Almería;AL
2; Andalucía; Cádiz;CA
3; Andalucía; Córdoba;CO
4; Andalucía; Granada;GR
5; Andalucía; Huelva;H
6; Andalucía; Jaén;J
7; Andalucía; Málaga;MA
8; Andalucía; Sevilla;SE
9; Aragón; Huesca;HU
10; Aragón; Teruel;TE
11; Aragón; Zaragoza;Z
12; Cantabria; Cantabria;S
13; Castilla-La Mancha; Albacete;AB
14; Castilla-La Mancha; Ciudad Real;CR
15; Castilla-La Mancha; Cuenca;CU
16; Castilla-La Mancha; Guadalajara;GU
17; Castilla-La Mancha; Toledo;TO
18; Castilla y León; Ávila;AV
19; Castilla y León; Burgos;BU
20; Castilla y León; León;LE
21; Castilla y León; Palencia;P
22; Castilla y León; Salamanca;SA
23; Castilla y León; Segovia;SG
24; Castilla y León; Soria;SO
25; Castilla y León; Valladolid;VA
26; Castilla y León; Zamora;ZA
27; Cataluña; Barcelona;B
28; Cataluña; Girona;GI
29; Cataluña; Lleida;L
30; Cataluña; Tarragona;T
31; Ceuta y Melilla; Ceuta;CE
32; Ceuta y Melilla; Melilla;ML
33; Comunidad de Madrid; Madrid;M
34; Comunidad Foral de Navarra; Navarra;Na
35; Comunidad Valenciana; Alicante;A
36; Comunidad Valenciana; Castellón;CS
37; Comunidad Valenciana; Valencia;V
38; Extremadura; Badajoz;BA
39; Extremadura; Cáceres;CC
40; Galicia; A Coruña;C
41; Galicia; Lugo;LU
42; Galicia; Ourense;OU
43; Galicia; Pontevedra;PO
44; Islas Baleares; Baleares;IB
45; Islas Canarias; Las Palmas;GC
46; Islas Canarias; Santa Cruz de Tenerife;TF
47; La Rioja; La Rioja;LO
48; País Vasco; Álava;VI
49; País Vasco; Guipúzcoa;SS
50; País Vasco; Vizcaya;BI
51; Principado de Asturias; Asturias;O
52; Región de Murcia; Murcia;MU
